country,region,govSeat2016,govSeat2017,govSeats2018,GDP2016,GDP2017,GDP2018,GDPperCap2016,GDPperCap2017,GDPperCap2018,govEduExp2016,govEduExp2017,govEduExp2018
Afghanistan,South Asia,27.7,27.7,27.7,19362642266.6484,20191764940.1602,19362969582.3643,547.228110150363,556.302138508508,520.896602719135,4.20524978637695,3.92674994468689,..
Albania,Europe & Central Asia,22.9,27.9,27.9,11861352704.87,13025062195.7906,15058879128.6536,4124.10854308316,4532.88919785143,5253.63006411357,3.95463991165161,..,..
Algeria,Middle East & North Africa,31.6,25.8,25.8,160129866569.935,167555280113.181,180689115940.685,3948.81189736204,4048.28525822561,4278.85005953418,..,..,..
American Samoa,East Asia & Pacific,..,..,..,653000000,634000000,..,11714.8956782261,11398.7774181949,..,..,..,..
Andorra,Europe & Central Asia,32.1,32.1,32.1,2877311946.90265,3013387423.93509,3236543909.34844,37224.1089162924,39134.3933706717,42029.7627372989,3.25670003890991,3.19555997848511,..
Angola,Sub-Saharan Africa,36.8,38.2,30.5,101123851090.455,122123822333.591,105750987618.63,3506.07288506966,4095.81294155857,3432.38573600893,..,..,..
Antigua and Barbuda,Latin America & Caribbean,11.1,11.1,11.1,1464630213.33333,1510084750.74074,1623804016.2963,15494.3054718052,15824.6678131824,16864.3833609901,..,..,..
Arab World,,18.8526498495719,18.8210344031402,19.0179788213628,2506038474468.22,2588676963425.26,2781325613205.7,6202.6904062711,6284.73772306094,6625.50731891516,..,..,..
Argentina,Latin America & Caribbean,35.8,38.9,38.9,557531376217.967,642695864756.35,518475134084.357,12790.2424732447,14591.8633810541,11652.5662897487,5.57217979431152,..,..
Armenia,Europe & Central Asia,10.7,18.1,18.1,10546135160.031,11527458565.7334,12433089919.0459,3591.82927553023,3914.5012684128,4212.07094272937,2.75812005996704,..,..
Aruba,Latin America & Caribbean,..,..,..,2646927374.30168,2700558659.21788,..,25239.6004109932,25630.2664922069,..,6.14321994781494,..,..
Australia,East Asia & Pacific,28.7,28.7,28.7,1210028388411.7,1330803227996.08,1432195178668.32,50019.9677677114,54093.6021908944,57305.2990162045,..,..,..
Austria,Europe & Central Asia,30.6,30.6,34.4,394052818287.788,416835975862.194,455736580716.185,45103.3298149578,47380.8296365374,51512.9054751534,..,..,..
Azerbaijan,Europe & Central Asia,16.8,16.8,16.8,37867518957.1975,40865558912.3867,46939529411.7647,3880.73873089556,4147.08971569171,4721.17808673142,2.90340995788574,..,..
"Bahamas, The",Latin America & Caribbean,13.2,12.8,12.8,11838800000,12162100000,..,31325.2948289503,31857.890145929,..,..,..,..
Bahrain,Middle East & North Africa,7.5,7.5,7.5,32250132978.7234,35432686170.2128,37746196808.5106,22619.1166718849,23715.4827473156,24050.7575053956,..,2.33548998832703,..
Bangladesh,South Asia,20,20.3,20.3,221415188000.475,249723862487.361,274024958965.892,1401.62062821515,1563.99408178663,1698.26280233547,1.53553998470306,..,..
Barbados,Latin America & Caribbean,16.7,16.7,20,4529050000,4673500000,..,15847.1427171829,16327.6072290756,..,5.09272003173828,4.65651988983154,..
Belarus,Europe & Central Asia,34.5,34.5,34.5,47722657820.6675,54726595249.1849,59662495092.2654,5022.62664330491,5761.74712023007,6289.93855308212,4.94654989242554,4.82003021240234,..
Belgium,Europe & Central Asia,39.3,38,38,469677213719.194,494901708704.269,531766935070.733,41449.097361231,43507.2382031326,46556.0995671478,..,..,..
Belize,Latin America & Caribbean,3.1,9.4,9.4,1806646250,1862614800,1925000000,4904.03433767644,4956.8080389814,5025.17810014332,7.06045007705688,7.08740997314453,..
Benin,Sub-Saharan Africa,7.2,7.2,7.2,8573159696.61128,9246696923.66155,10358985583.235,788.549196450986,827.429810110093,901.954052193336,3.99468994140625,..,..
Bermuda,North America,..,..,..,..,..,..,..,..,..,..,1.49200999736786,..
Bhutan,South Asia,8.5,8.5,8.5,2219675780.89539,2528007911.35353,2534965162.78084,3012.96140117114,3390.71407484432,3360.26686689029,6.80557012557983,7.05048990249634,..
Bolivia,Latin America & Caribbean,53.1,53.1,53.1,33941126193.9219,37508642257.5977,40287647756.8741,3076.6589493424,3351.12405268555,3548.59013979338,..,..,..
Bosnia and Herzegovina,Europe & Central Asia,21.4,21.4,21.4,16913330693.9653,18080118128.3854,19781776101.3881,4994.68314045091,5394.59122017677,5951.32329883943,..,..,..
Botswana,Sub-Saharan Africa,9.5,9.5,9.5,15646323340.5497,17406565823.2986,18616018903.4434,7243.85601689195,7893.67593323318,8258.64166574691,..,..,..
Brazil,Latin America & Caribbean,9.9,10.7,10.7,1796275437087.99,2053594973992.61,1868626087908.48,8712.88704442864,9880.94654326324,8920.76210462979,..,..,..
British Virgin Islands,Latin America & Caribbean,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,East Asia & Pacific,6.5,9.1,9.1,11400653949.1783,12128088999.9276,13567099497.8279,27157.3462343457,28572.1094155048,31627.7420793167,4.42540979385376,..,..
Bulgaria,Europe & Central Asia,20.4,23.8,23.8,53240950226.2443,58220973782.7715,65132951116.4756,7469.45563823624,8228.0115697265,9272.62930360848,..,..,..
Burkina Faso,Sub-Saharan Africa,9.4,11,11,10886363726.8422,12322864244.9183,14441763758.6919,583.83262029989,642.040426480339,731.171716967411,..,..,..
Poland,Europe & Central Asia,27.4,28,28,472028000405.803,526371021088.561,585782872331.589,12431.5754242492,13861.0515579074,15424.0460254454,..,..,..
Burundi,Sub-Saharan Africa,36.4,36.4,36.4,2959185295.39019,3172416146.3921,3078029929.10347,282.149681511209,293.009061990821,275.429603285318,4.61813020706177,4.34406995773315,..
Cabo Verde,Sub-Saharan Africa,23.6,23.6,23.6,1662998677.88425,1771235958.20125,1986928611.73543,3130.96338461412,3295.34110553408,3654.00734457117,5.36650991439819,5.22474002838135,..
Cambodia,East Asia & Pacific,20.3,20.3,20,20016747754.0192,22177200511.5811,24571753583.4922,1269.59125737542,1385.2599796333,1512.12670972847,..,..,..
Cameroon,Sub-Saharan Africa,31.1,31.1,31.1,32621535418.9031,34922782310.6416,38502059858.4389,1363.40385121739,1421.58749243688,1526.87571339209,2.68755006790161,3.07793998718262,..
Canada,North America,26,26.3,27,1526705529135.32,1646867220617.47,1709327324240.04,42279.9008231637,45069.9272544324,46124.6651607388,..,..,..
Caribbean small states,,20.4116591928251,21.2651006711409,21.9362416107383,67183921136.4825,69074812658.1643,72930271172.9642,9242.03517827813,9442.91279388821,9910.39788515969,5.31865978240967,5.26773023605347,..
Cayman Islands,Latin America & Caribbean,..,..,..,..,3570575151.26723,..,..,56334.2139924148,..,..,..,..
Central African Republic,Sub-Saharan Africa,7.2,8.6,8.6,1844714794.83758,2167501639.76783,2379716827.4977,406.531961071263,471.603227780125,509.970974805014,..,..,..
Central Europe and the Baltics,,19.8952508960573,22.1234150856085,22.0264692272096,1315627473799.51,1455568032701.07,1630175297325.66,12773.7838358706,14167.6491028513,15902.2996108263,..,..,..
Chad,Sub-Saharan Africa,14.9,12.8,15.3,10090922857.3905,9975692095.40855,11302544204.9904,692.978595813865,664.303315726258,730.244607565426,..,..,..
Channel Islands,Europe & Central Asia,..,..,..,..,..,..,..,..,..,..,..,..
Chile,Latin America & Caribbean,15.8,15.8,22.6,250339876460.228,277746457909.868,298231139609.448,13748.0883953109,15037.3501089968,15923.3590619893,5.35063982009888,..,..
China,East Asia & Pacific,23.6,24.2,24.9,11137945669350.6,12143491448186.1,13608151864637.9,8078.79047437238,8759.04157775098,9770.84708783314,..,..,..
Colombia,Latin America & Caribbean,19.9,18.7,18.1,282825009887.458,311789874617.096,330227866233.324,5871.22352385952,6375.93206285311,6651.29129267621,4.52090978622437,4.39972019195557,..
Comoros,Sub-Saharan Africa,3,6.1,6.1,1024261820.6281,1068124329.86257,1203080507.99878,1287.42096530395,1312.36617372154,1445.45080869998,..,..,..
"Congo, Dem. Rep.",Sub-Saharan Africa,8.9,8.9,8.9,37134799974.4735,38019265625.856,47227535290.9405,471.31884040895,467.07423746454,561.777182390647,2.1186900138855,1.46950995922089,..
"Congo, Rep.",Sub-Saharan Africa,7.4,11.3,11.3,9035848070.90357,8701334800.21976,11263682694.0393,1814.06341798173,1702.571349341,2147.76946104594,..,..,..
Costa Rica,Latin America & Caribbean,33.3,35.1,45.6,57157995872.6843,58174550211.5503,60126014828.5951,11666.4566126052,11752.5436017285,12026.5475337333,7.11873006820679,7.43226003646851,..
Cote d'Ivoire,Sub-Saharan Africa,9.2,10.6,10.6,35296979104.0186,38053610009.4172,43007045466.3406,1481.65230477177,1557.18294760465,1715.53123817013,4.9483699798584,4.36417007446289,..
Croatia,Europe & Central Asia,12.6,18.5,18.5,51623429121.3635,55201417479.3925,60805659436.216,12366.8215382479,13383.6834974431,14869.0906823045,..,..,..
Cuba,Latin America & Caribbean,48.9,48.9,53.2,91370000000,96851000000,..,8060.79588647979,8541.2106734664,..,..,..,..
Curacao,Latin America & Caribbean,..,..,..,3122287932.96089,3116610111.73184,..,19555.3658492891,19457.5315232205,..,..,..,..
Cyprus,Europe & Central Asia,17.9,17.9,17.9,20453761061.9469,22141864998.8731,24469841831.9169,24019.1378679236,25760.7627043417,28159.3016999455,..,..,..
Czech Republic,Europe & Central Asia,20,20,22,195090272402.729,215913545038.43,244105215927.35,18463.3865756564,20379.8960396417,22973.1058464741,..,..,..
Denmark,Europe & Central Asia,37.4,37.4,37.4,311988101661.744,329865537183.47,351299591462.907,54467.1014299458,57218.851961927,60595.5780291713,..,..,..
Djibouti,Middle East & North Africa,12.7,10.8,26.2,1764268468.93991,1844674434.50371,1965982321.62953,1898.87599012811,1953.9035019746,2050.20473202095,..,..,..
Dominica,Latin America & Caribbean,21.9,25,25,575468234.444445,496726248.518519,503646211.111111,8070.29091736358,6951.30354219987,7031.70975373279,..,..,..
